Ano;Região;UF;Estado;Organização Acadêmica PNP;Instituição (Nome);Instituicao;nomeUnidadeRecente;nomeIdCurso;tipoCurso;tipoOferta;ModalidadeEnsino;Número de cursos;Número de concluintes;Número de ingressantes;Número de inscritos;Número de Matrículas;Número de vagas;Matrícula Equivalente | Geral
2018;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Informática (Técnico);Técnico;Subsequente;Educação Presencial;1;14;40;763;178;80;213,6
2018;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Meio Ambiente (Técnico);Técnico;Subsequente;Educação Presencial;1;32;35;94;142;40;156,20000000000002
2018;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Mineração (Técnico);Técnico;Integrado;Educação Presencial;1;20;80;693;244;160;292,8
2018;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Mineração (Técnico);Técnico;Subsequente;Educação Presencial;1;27;37;763;122;40;146,4
2017;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Alimentação Escolar (Técnico);Técnico;Subsequente;Educação a Distância;1;;;;2;;
2017;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Eletromecânica (Técnico);Técnico;Integrado;Educação Presencial;1;24;40;830;156;40;198,12
2017;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Eletromecânica (Técnico);Técnico;Subsequente;Educação Presencial;1;12;41;1857;89;80;113,03
2017;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Informática (Técnico);Técnico;Integrado;Educação Presencial;1;36;40;830;181;40;226,25
2017;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Informática (Técnico);Técnico;Subsequente;Educação Presencial;1;10;30;930;163;40;203,75
2017;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Infraestrutura Escolar (Técnico);Técnico;Subsequente;Educação a Distância;1;;;;1;;
2017;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Meio Ambiente (Técnico);Técnico;Subsequente;Educação Presencial;1;36;34;930;118;40;127,44000000000001
2017;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Mineração (Técnico);Técnico;Integrado;Educação Presencial;1;18;46;830;197;50;236,39999999999998
2017;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Mineração (Técnico);Técnico;Subsequente;Educação Presencial;1;13;52;1860;89;80;106,8
2017;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Multimeios Didáticos (Técnico);Técnico;Subsequente;Educação a Distância;1;;;;1;;
2017;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Secretaria Escolar (Técnico);Técnico;Subsequente;Educação a Distância;1;;;;3;;
