Ano;Região;UF;Estado;Organização Acadêmica PNP;Instituicao;Instituição (Nome);nomeUnidadeRecente;categoriaSituacao;nomeSituacao;FluxoRetido;Número de Matrículas
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Urutaí;Em curso;Em curso;Retido;360
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Urutaí;Evadidos;Abandono;Em fluxo;220
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Urutaí;Evadidos;Desligada;Em fluxo;40
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Urutaí;Evadidos;Reprovado;Em fluxo;3
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Urutaí;Evadidos;Transf. externa;Em fluxo;69
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Águas Lindas de Goiás;Concluintes;Concluída;Em fluxo;3018
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Águas Lindas de Goiás;Concluintes;Integralizada;Em fluxo;10
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Águas Lindas de Goiás;Em curso;Em curso;Em fluxo;2174
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Águas Lindas de Goiás;Em curso;Em curso;Retido;146
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Águas Lindas de Goiás;Evadidos;Abandono;Em fluxo;70
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Águas Lindas de Goiás;Evadidos;Desligada;Em fluxo;2
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Águas Lindas de Goiás;Evadidos;Transf. externa;Em fluxo;8
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Anápolis;Concluintes;Concluída;Em fluxo;157
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Anápolis;Concluintes;Integralizada;Em fluxo;29
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Anápolis;Em curso;Em curso;Em fluxo;1604
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Anápolis;Em curso;Em curso;Retido;251
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Anápolis;Evadidos;Abandono;Em fluxo;229
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Anápolis;Evadidos;Desligada;Em fluxo;58
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Anápolis;Evadidos;Transf. externa;Em fluxo;35
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Aparecida de Goiânia;Concluintes;Concluída;Em fluxo;17
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Aparecida de Goiânia;Em curso;Em curso;Em fluxo;574
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Aparecida de Goiânia;Em curso;Em curso;Retido;182
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Aparecida de Goiânia;Evadidos;Abandono;Em fluxo;106
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Aparecida de Goiânia;Evadidos;Desligada;Em fluxo;20
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IFG;Instituto Federal de Goiás;Campus Aparecida de Goiânia;Evadidos;Transf. externa;Em fluxo;12
